Latitude,Longitude,Inspection_Date,Year,day_of_year,mean_varroa,n,x_km,y_km,TrapezoidAverage,SpringFloral,SummerFloral,FallFloral,Nesting,Insecticide,n_colonies_5km,Monitor_prox,Treat_prox,Fed_Solid,Fed_Syrup,Fed_pollen
37.243,-89.2621,2018-08-12T00:00:00Z,2018,224,12,2,32.593837128367916,-295.6377375028547,84.1511042443863,42.09527999299878,46.35952056197109,33.45306311896417,28.87210549926229,77.79056459869301,1,1,1,1,0,0
37.243,-89.2621,2019-05-14T00:00:00Z,2019,134,0,2,32.593837128367916,-295.6377375028547,84.1511042443863,42.09527999299878,46.35952056197109,33.45306311896417,28.87210549926229,77.79056459869301,1,1,1,0,1,0
37.2994,-89.2561,2018-05-12T00:00:00Z,2018,132,4,2,33.18726358307665,-289.3834556740195,98.73002643986604,59.44092902175418,50.210038071129,37.65570243779864,52.97596454993278,30.759616886900687,1,1,1,0,1,0
37.2994,-89.2561,2019-05-14T00:00:00Z,2019,134,0,2,33.18726358307665,-289.3834556740195,98.73002643986604,59.44092902175418,50.210038071129,37.65570243779864,52.97596454993278,30.759616886900687,1,1,1,0,1,0
37.4485,-89.1409,2018-06-10T00:00:00Z,2018,161,0,4,43.5427078866669,-272.92908627829723,97.25199535928948,53.2151166754126,51.190438529869446,38.90455316189737,43.693599100036614,24.76873170312942,4,1,1,0,1,0
37.5694,-89.32629999999999,2018-06-10T00:00:00Z,2018,161,0,3,27.27886400825082,-259.3537910734032,102.07968000225956,60.58429160946005,51.95575344058846,39.66574035727617,52.601975202573875,14.69201300153901,3,1,1,0,1,0
37.5694,-89.32629999999999,2018-06-09T00:00:00Z,2018,160,5,3,27.27886400825082,-259.3537910734032,102.07968000225956,60.58429160946005,51.95575344058846,39.66574035727617,52.601975202573875,14.69201300153901,3,1,0,0,1,0
37.606259,-89.030112,2018-09-17T00:00:00Z,2018,260,6,2,53.47559891499038,-255.49815871574236,99.40180711871326,58.29958859270063,50.928499064253664,38.6595625482588,51.07593535660415,12.192893305519078,6,NA,NA,0,0,0
37.627,-88.7658,2018-10-16T00:00:00Z,2018,289,10,2,76.82466519558797,-253.33652340165725,96.3719666154296,55.60518230608925,49.96628208625208,37.23382062331531,48.65996697390446,56.159287120304384,3,1,1,0,1,0
37.627,-88.7658,2019-07-28T00:00:00Z,2019,209,0,2,76.82466519558797,-253.33652340165725,96.3719666154296,55.60518230608925,49.96628208625208,37.23382062331531,48.65996697390446,56.159287120304384,3,1,1,0,1,0
37.62820200000001,-89.33588099999999,2018-07-11T00:00:00Z,2018,192,1,2,26.50211537850744,-252.81833902285555,103.40126149438524,63.10773468613387,51.97073766784693,39.7751152487596,56.10936879870076,6.489236170030324,1,NA,NA,0,0,0
37.6678,-89.2329,2018-07-11T00:00:00Z,2018,192,2,2,35.63491095911921,-248.51547090800537,102.9206320882616,61.56926975885745,52.03885022923368,40.211292260982034,53.17130393792932,10.83639056241617,2,NA,NA,0,0,0
37.6873,-88.657,2018-10-16T00:00:00Z,2018,289,4,2,86.45194740908354,-246.6826575707481,79.14347378187027,39.80251278962027,43.95317760061078,30.55980773562959,32.184675648091606,192.8543279257101,1,1,1,0,1,0
37.700762,-89.14855,2019-06-09T00:00:00Z,2019,160,0,2,43.10872466959711,-244.9250564961428,95.08728475851387,52.60023199637638,49.679124062658126,37.84123880858675,42.273267419659355,60.61581149665676,3,1,1,0,1,0
37.7118,-88.57169999999999,2018-10-16T00:00:00Z,2018,289,4,2,93.98251043903932,-243.98600463899683,91.19478114781944,45.32588783599749,49.662759275280784,37.75094994417812,33.7595662497261,81.15929356944531,4,1,1,0,1,0
37.72597300000001,-88.80416400000001,2018-09-16T00:00:00Z,2018,259,2,2,73.49329651370525,-242.33535568251577,92.45660937764112,50.94003877227325,48.717769132999834,36.55181068474927,43.371811524463425,38.9130525801728,5,1,1,0,1,0
37.73841800000001,-88.93260000000001,2018-06-10T00:00:00Z,2018,161,0.6666666666666666,3,62.17959805352215,-240.88938386937488,98.23963935341725,47.012438463858615,53.92078657693662,41.60017944009236,25.62742233075081,14.026454001155171,1,1,1,0,1,0
37.758367,-89.075683,2018-09-17T00:00:00Z,2018,260,0,2,49.5854165035162,-238.58484022880427,97.02259393490264,49.32660320664707,51.88100260210273,40.94677195711501,33.67293700136736,12.219379497679084,8,1,1,0,1,0
37.7586,-89.17439999999999,2018-07-11T00:00:00Z,2018,192,4,2,40.88672708867746,-238.48537133008705,87.32901444788283,45.07578587332388,47.61225312071488,34.33563569793985,34.400975570287756,65.46939296075493,4,1,NA,0,0,0
37.76005000000001,-89.07729900000001,2018-09-17T00:00:00Z,2018,260,0,2,49.44450066137232,-238.3969104545591,96.8217656671185,49.31502521578439,51.76155540498481,40.80682039141004,33.939449330175066,14.031298832639775,8,1,1,0,1,0
37.76050000000001,-88.8365,2018-06-10T00:00:00Z,2018,161,0.5,2,70.6632561480852,-238.48838012888388,87.3807603664027,46.21031812208864,46.633751619781634,35.26630895080206,39.49007864101951,65.06523128517654,6,1,1,0,1,0
37.7779,-89.3118,2018-06-10T00:00:00Z,2018,161,0.5,2,28.801419259729563,-236.22546609793787,90.22122557637054,46.92837319125573,48.765494869077074,35.9992651856133,33.949869362655754,71.86029583675102,9,1,1,0,1,0
37.794048,-88.963638,2018-07-10T00:00:00Z,2018,191,0,2,59.4854289830513,-234.69698816043436,89.41986267097045,48.64929431464129,47.34589729026038,35.5039601858703,39.982405288552826,87.71295744680992,5,0,NA,0,1,0
37.8037,-89.0623,2018-10-15T00:00:00Z,2018,288,6,2,50.80394123088731,-233.56252016725924,90.68078370582528,48.03177213273322,48.12208941722606,37.09131722490222,37.092966298400505,39.99257592442021,9,1,1,0,1,0
37.806095,-89.337288,2018-06-10T00:00:00Z,2018,161,0.5,2,26.58958873815206,-233.0721892838757,80.77212322998284,37.98929412189185,45.839108510729254,31.82119415178031,27.269855146970905,140.3592896909085,9,1,1,0,1,0
37.81523,-88.85437699999999,2018-09-16T00:00:00Z,2018,259,0,2,69.12185543500141,-232.4052291306024,88.5362121036451,48.47635886096885,46.68996711407587,35.22976599506462,42.752128689456434,97.31250417789671,3,1,1,0,1,0
37.82,-88.38799999999999,2018-10-16T00:00:00Z,2018,289,7.5,2,110.18689997649362,-232.0022997362143,61.196170339275625,24.80234612792808,37.955580176381645,21.66628668040792,19.029120892458295,404.4880826643224,3,1,1,0,1,0
37.8353,-89.4282,2018-06-10T00:00:00Z,2018,161,0.5,2,18.62143603830633,-229.7406711018136,93.227281704706,53.15505466934997,48.70925844561452,35.923297165548625,46.23120424593161,75.06635138087398,1,1,1,0,1,0
37.870758,-88.928552,2018-09-17T00:00:00Z,2018,260,10,2,62.629937441974846,-226.20304370916156,93.757461984231,48.60118541310088,50.37065386277221,38.17948697747883,36.42503673027883,42.4735215064367,4,1,1,0,1,0
37.888555,-89.49486500000002,2018-08-13T00:00:00Z,2018,225,0,2,12.826435445369338,-223.75864703195057,87.11270306220749,43.306925095473474,47.95176557306885,35.00474448770899,33.21500223127306,129.04359801215423,3,1,1,0,1,0
37.89,-89.7063,2018-07-11T00:00:00Z,2018,192,0,2,-5.770795479350258,-223.34557126427177,95.97155722947926,57.08867159144556,49.30343831016567,36.30872845160698,51.09814701799736,83.46435424739929,1,1,1,0,1,0
37.89,-89.60629999999999,2018-07-11T00:00:00Z,2018,192,0,2,3.0259162647800113,-223.47033754656456,80.48505420101263,39.87648688350338,45.0105218549765,31.040744060037873,32.32439141312792,184.3957040867316,2,NA,NA,0,0,0
37.893378000000006,-88.83894,2018-10-16T00:00:00Z,2018,289,0,2,70.5280713238625,-223.7388909819223,83.24880764931567,43.07219714075365,45.176353999514546,33.06973227540328,34.928111765106834,136.7351003835823,4,1,1,0,1,0
37.934439999999995,-89.07247999999998,2018-10-15T00:00:00Z,2018,288,4,2,50.022355603325295,-219.0441860137356,74.53514801195064,36.13226996460514,42.50171409897358,27.92550540395836,28.38222565681201,176.8775559792498,3,1,1,0,1,0
37.94642739999999,-89.475429,2018-08-13T00:00:00Z,2018,225,10,2,14.614868262109349,-217.3560607835651,77.37125282125726,38.17550813903512,43.766704592026315,29.025845024615577,30.72634593943627,191.83927350863257,2,1,1,0,1,0
